id;original_name;genus;species;species_auth;infrasp1_rank;infrasp1;infrasp1_auth;infrasp2_rank;infrasp2;infrasp2_auth
1378;Alyssum strigosum Banks & Sol. subsp. strigosum;Alyssum;strigosum;Banks & Sol.;subsp;strigosum;;;;
1379;Alyssum siculum Jord.;Alyssum;siculum;Jord.;;;;;;
1380;Alyssum wulfenianum Bernh. subsp. wulfenianum;Alyssum;wulfenianum;Bernh.;subsp;wulfenianum;;;;
1381;Alyssum wulfenianum Bernh. subsp. ovirense (A.Kern.) Magauer, Schönsw. & Frajman;Alyssum;wulfenianum;Bernh.;subsp;ovirense;(A. Kern. ) Magauer, Schonsw. & Frajman;;;
1382;Alyssum montanum L.;Alyssum;montanum;L.;;;;;;
1383;Alyssum repens Baumg.;Alyssum;repens;Baumg.;;;;;;
1384;Alyssum diffusum Ten.;Alyssum;diffusum;Ten.;;;;;;
1385;Alyssum cuneifolium Ten.;Alyssum;cuneifolium;Ten.;;;;;;
1386;Odontarrhena argentea (All.) Ledeb.;Odontarrhena;argentea;(All. ) Ledeb.;;;;;;
1387;Odontarrhena bertolonii (Desv.) Jord. & Fourr. subsp. bertolonii;Odontarrhena;bertolonii;(Desv. ) Jord. & Fourr.;subsp;bertolonii;;;;
1388;Odontarrhena tavolarae (Briq.) L.Cecchi & Selvi;Odontarrhena;tavolarae;(Briq. ) L. Cecchi & Selvi;;;;;;
1389;Odontarrhena alpestris (L.) Ledeb.;Odontarrhena;alpestris;(L. ) Ledeb.;;;;;;
1390;Odontarrhena nebrodensis (Tineo) L.Cecchi & Selvi subsp. nebrodensis;Odontarrhena;nebrodensis;(Tineo) L. Cecchi & Selvi;subsp;nebrodensis;;;;
1391;Hormathophylla ligustica (Breistr.) Španiel, Al-Shehbaz, D.A.German & Marhold;Hormathophylla;ligustica;(Breistr. ) Spaniel, AlShehbaz, D. A. German & Marhold;;;;;;
1392;Fibigia clypeata (L.) Medik. subsp. clypeata;Fibigia;clypeata;(L. ) Medik.;subsp;clypeata;;;;
1393;Berteroa obliqua (Sm.) DC.;Berteroa;obliqua;(Sm. ) DC.;;;;;;
1394;Berteroa mutabilis (Vent.) DC.;Berteroa;mutabilis;(Vent. ) DC.;;;;;;
1395;Berteroa incana (L.) DC.;Berteroa;incana;(L. ) DC.;;;;;;
1396;Lobularia maritima (L.) Desv.;Lobularia;maritima;(L. ) Desv.;;;;;;
1397;Lobularia libyca (Viv.) Meisn.;Lobularia;libyca;(Viv. ) Meisn.;;;;;;
1398;Clypeola jonthlaspi L.;Clypeola;jonthlaspi;L.;;;;;;
1399;Draba aizoides L. subsp. aizoides;Draba;aizoides;L.;subsp;aizoides;;;;
1400;Draba hoppeana Rchb.;Draba;hoppeana;Rchb.;;;;;;
1401;Draba aspera Bertol.;Draba;aspera;Bertol.;;;;;;
1402;Draba turgida É.Huet & A.Huet ex Ces., Pass. & Gibelli;Draba;turgida;E. Huet & A. Huet ex Ces. , Pass. & Gibelli;;;;;;
1403;Draba dolomitica Buttler;Draba;dolomitica;Buttler;;;;;;
1404;Draba siliquosa M.Bieb.;Draba;siliquosa;M. Bieb.;;;;;;
1405;Draba dubia Suter subsp. dubia;Draba;dubia;Suter;subsp;dubia;;;;
1406;Draba tomentosa Clairv. subsp. tomentosa;Draba;tomentosa;Clairv.;subsp;tomentosa;;;;
1407;Draba fladnizensis Wulfen;Draba;fladnizensis;Wulfen;;;;;;
1408;Drabella muralis (L.) Fourr.;Drabella;muralis;(L. ) Fourr.;;;;;;
1409;Draba nemorosa L.;Draba;nemorosa;L.;;;;;;
1410;Draba stylaris J.Gay ex W.D.J.Koch;Draba;stylaris;J. Gay ex W. D. J. Koch;;;;;;
1411;Draba verna L.;Draba;verna;L.;;;;;;
1412;Draba verna L. subsp. verna;Draba;verna;L.;subsp;verna;;;;
1413;Draba verna L. subsp. praecox (Steven) Rouy & Foucaud;Draba;verna;L.;subsp;praecox;(Steven) Rouy & Foucaud;;;
1414;Draba verna L. subsp. spathulata (Láng) Rouy & Foucaud;Draba;verna;L.;subsp;spathulata;(Lang) Rouy & Foucaud;;;
1415;Petrocallis pyrenaica (L.) W.T.Aiton;Petrocallis;pyrenaica;(L. ) W. T. Aiton;;;;;;
1416;Cochlearia officinalis L. subsp. officinalis;Cochlearia;officinalis;L.;subsp;officinalis;;;;
1417;Ionopsidium glastifolium (L.) M.Koch;Ionopsidium;glastifolium;(L. ) M. Koch;;;;;;
1418;Kernera saxatilis (L.) Sweet subsp. saxatilis;Kernera;saxatilis;(L. ) Sweet;subsp;saxatilis;;;;
1419;Rhizobotrya alpina Tausch;Rhizobotrya;alpina;Tausch;;;;;;
1420;Camelina sativa (L.) Crantz subsp. sativa;Camelina;sativa;(L. ) Crantz;subsp;sativa;;;;
1421;Camelina sativa (L.) Crantz subsp. microcarpa (Andrz. ex DC.) Bonnier;Camelina;sativa;(L. ) Crantz;subsp;microcarpa;(Andrz. ex DC. ) Bonnier;;;
1422;Camelina alyssum (Mill.) Thell.;Camelina;alyssum;(Mill. ) Thell.;;;;;;
1423;Camelina alyssum (Mill.) Thell. subsp. alyssum;Camelina;alyssum;(Mill. ) Thell.;subsp;alyssum;;;;
1424;Camelina alyssum (Mill.) Thell. subsp. integerrima (?elak.) Smejkal;Camelina;alyssum;(Mill. ) Thell.;subsp;integerrima;(Celak. ) Smejkal;;;
1425;Neslia paniculata (L.) Desv.;Neslia;paniculata;(L. ) Desv.;;;;;;
1426;Neslia paniculata (L.) Desv. subsp. paniculata;Neslia;paniculata;(L. ) Desv.;subsp;paniculata;;;;
1427;Neslia paniculata (L.) Desv. subsp. thracica (Velen.) Bornm.;Neslia;paniculata;(L. ) Desv.;subsp;thracica;(Velen. ) Bornm.;;;
1428;Capsella bursa-pastoris (L.) Medik. subsp. bursa-pastoris;Capsella;bursapastoris;(L. ) Medik.;subsp;bursapastoris;;;;
1429;Capsella rubella Reut.;Capsella;rubella;Reut.;;;;;;
1430;Capsella grandiflora (Fauché & Chaub.) Boiss.;Capsella;grandiflora;(Fauche & Chaub. ) Boiss.;;;;;;
1431;Hornungia petraea (L.) Rchb. subsp. petraea;Hornungia;petraea;(L. ) Rchb.;subsp;petraea;;;;
1432;Hornungia alpina (L.) O.Appel;Hornungia;alpina;(L. ) O. Appel;;;;;;
1433;Hornungia alpina (L.) O.Appel subsp. alpina;Hornungia;alpina;(L. ) O. Appel;subsp;alpina;;;;
1434;Hornungia alpina (L.) O.Appel subsp. brevicaulis (Spreng.) O.Appel;Hornungia;alpina;(L. ) O. Appel;subsp;brevicaulis;(Spreng. ) O. Appel;;;
1435;Hornungia alpina (L.) O.Appel subsp. austroalpina (Trpin) O.Appel;Hornungia;alpina;(L. ) O. Appel;subsp;austroalpina;(Trpin) O. Appel;;;
1436;Hornungia procumbens (L.) Hayek;Hornungia;procumbens;(L. ) Hayek;;;;;;
1437;Hornungia pauciflora (W.D.J.Koch) Soldano, F.Conti, Banfi & Galasso;Hornungia;pauciflora;(W. D. J. Koch) Soldano, F. Conti, Banfi & Galasso;;;;;;
1438;Ionopsidium albiflorum Durieu;Ionopsidium;albiflorum;Durieu;;;;;;
1439;Ionopsidium acaule (Desf.) Rchb.;Ionopsidium;acaule;(Desf. ) Rchb.;;;;;;
1440;Ionopsidium savianum (Caruel) Ball ex Arcang.;Ionopsidium;savianum;(Caruel) Ball ex Arcang.;;;;;;
1441;Bivonaea lutea (Biv.) DC.;Bivonaea;lutea;(Biv. ) DC.;;;;;;
1442;Teesdalia nudicaulis (L.) W.T.Aiton;Teesdalia;nudicaulis;(L. ) W. T. Aiton;;;;;;
1443;Teesdalia coronopifolia (J.P.Bergeret) Thell.;Teesdalia;coronopifolia;(J. P. Bergeret) Thell.;;;;;;
1444;Thlaspi arvense L.;Thlaspi;arvense;L.;;;;;;
1445;Mummenhoffia alliacea (L.) Esmailbegi & Al-Shehbaz;Mummenhoffia;alliacea;(L. ) Esmailbegi & AlShehbaz;;;;;;
1446;Microthlaspi perfoliatum (L.) F.K.Mey.;Microthlaspi;perfoliatum;(L. ) F. K. Mey.;;;;;;
1447;Noccaea brachypetala (Jord.) F.K.Mey.;Noccaea;brachypetala;(Jord. ) F. K. Mey.;;;;;;
1448;Noccaea caerulescens (J.Presl & C.Presl) F.K.Mey.;Noccaea;caerulescens;(J. Presl & C. Presl) F. K. Mey.;;;;;;
1449;Noccaea virens (Jord.) F.K.Mey.;Noccaea;virens;(Jord. ) F. K. Mey.;;;;;;
1450;Noccaea brevistyla (DC.) Steud.;Noccaea;brevistyla;(DC. ) Steud.;;;;;;
1451;Noccaea praecox (Wulfen) F.K.Mey.;Noccaea;praecox;(Wulfen) F. K. Mey.;;;;;;
1452;Noccaea montana (L.) F.K.Mey.;Noccaea;montana;(L. ) F. K. Mey.;;;;;;
1453;Noccaea torreana (Ten.) Bartolucci, Galasso & Peruzzi;Noccaea;torreana;(Ten. ) Bartolucci, Galasso & Peruzzi;;;;;;
1454;Noccaea sylvia (Gaudin) F.K.Mey.;Noccaea;sylvia;(Gaudin) F. K. Mey.;;;;;;
1455;Noccaea stylosa (Ten.) Rchb.;Noccaea;stylosa;(Ten. ) Rchb.;;;;;;
1456;Noccaea rotundifolia (L.) Moench;Noccaea;rotundifolia;(L. ) Moench;;;;;;
1457;Noccaea cepaeifolia (Wulfen) Rchb.;Noccaea;cepaeifolia;(Wulfen) Rchb.;;;;;;
1458;Noccaea corymbosa (J.Gay) F.K.Mey.;Noccaea;corymbosa;(J. Gay) F. K. Mey.;;;;;;
1459;Aethionema saxatile (L.) W.T.Aiton;Aethionema;saxatile;(L. ) W. T. Aiton;;;;;;
1460;Aethionema marginatum (Lapeyr.) Montemurro;Aethionema;marginatum;(Lapeyr. ) Montemurro;;;;;;
1461;Aethionema thomasianum J.Gay;Aethionema;thomasianum;J. Gay;;;;;;
1462;Iberis semperflorens L.;Iberis;semperflorens;L.;;;;;;
1463;Iberis sempervirens L.;Iberis;sempervirens;L.;;;;;;
1464;Iberis saxatilis L. subsp. saxatilis;Iberis;saxatilis;L.;subsp;saxatilis;;;;
1465;Iberis violacea W.T.Aiton;Iberis;violacea;W. T. Aiton;;;;;;
1466;Iberis integerrima Moris;Iberis;integerrima;Moris;;;;;;
1467;Iberis aurosica Chaix subsp. nana (All.) Moreno;Iberis;aurosica;Chaix;subsp;nana;(All. ) Moreno;;;
1468;Iberis amara L.;Iberis;amara;L.;;;;;;
1469;Iberis linifolia L.;Iberis;linifolia;L.;;;;;;
1470;Iberis linifolia L. subsp. linifolia;Iberis;linifolia;L.;subsp;linifolia;;;;
1471;Iberis linifolia L. subsp. stricta (Jord.) P.Fourn.;Iberis;linifolia;L.;subsp;stricta;(Jord. ) P. Fourn.;;;
1472;Iberis umbellata L.;Iberis;umbellata;L.;;;;;;
1473;Iberis pinnata L.;Iberis;pinnata;L.;;;;;;
1474;Biscutella laevigata L.;Biscutella;laevigata;L.;;;;;;
1475;Biscutella laevigata L. subsp. laevigata;Biscutella;laevigata;L.;subsp;laevigata;;;;
1476;Biscutella laevigata L. subsp. lucida (Balb. ex DC.) Arcang.;Biscutella;laevigata;L.;subsp;lucida;(Balb. ex DC. ) Arcang.;;;
1477;Biscutella laevigata L. subsp. ossolana Raffaelli & Baldoin;Biscutella;laevigata;L.;subsp;ossolana;Raffaelli & Baldoin;;;
1478;Biscutella laevigata L. subsp. raffaelliana Galasso & Banfi;Biscutella;laevigata;L.;subsp;raffaelliana;Galasso & Banfi;;;
1479;Biscutella laevigata L. subsp. prinzerae Raffaelli & Baldoin;Biscutella;laevigata;L.;subsp;prinzerae;Raffaelli & Baldoin;;;
1480;Biscutella laevigata L. subsp. australis Raffaelli & Baldoin;Biscutella;laevigata;L.;subsp;australis;Raffaelli & Baldoin;;;
1481;Biscutella incana Ten.;Biscutella;incana;Ten.;;;;;;
1482;Biscutella ambigua DC.;Biscutella;ambigua;DC.;;;;;;
1483;Biscutella didyma L.;Biscutella;didyma;L.;;;;;;
1484;Biscutella maritima Ten.;Biscutella;maritima;Ten.;;;;;;
1485;Biscutella cichoriifolia Loisel.;Biscutella;cichoriifolia;Loisel.;;;;;;
1486;Biscutella brevicaulis Jord.;Biscutella;brevicaulis;Jord.;;;;;;
1487;Biscutella prealpina Raffaelli & Baldoin;Biscutella;prealpina;Raffaelli & Baldoin;;;;;;
1488;Biscutella mollis Loisel.;Biscutella;mollis;Loisel.;;;;;;
1489;Biscutella pichiana Raffaelli;Biscutella;pichiana;Raffaelli;;;;;;
1490;Biscutella pichiana Raffaelli subsp. pichiana;Biscutella;pichiana;Raffaelli;subsp;pichiana;;;;
1491;Biscutella pichiana Raffaelli subsp. ilvensis Raffaelli;Biscutella;pichiana;Raffaelli;subsp;ilvensis;Raffaelli;;;
1492;Biscutella apuana Raffaelli;Biscutella;apuana;Raffaelli;;;;;;
1493;Lepidium campestre (L.) W.T.Aiton;Lepidium;campestre;(L. ) W. T. Aiton;;;;;;
1494;Lepidium hirtum (L.) Sm.;Lepidium;hirtum;(L. ) Sm.;;;;;;
1495;Lepidium hirtum (L.) Sm. subsp. hirtum;Lepidium;hirtum;(L. ) Sm.;subsp;hirtum;;;;
1496;Lepidium hirtum (L.) Sm. subsp. nebrodense (Raf.) Thell.;Lepidium;hirtum;(L. ) Sm.;subsp;nebrodense;(Raf. ) Thell.;;;
1497;Lepidium sativum L. subsp. sativum;Lepidium;sativum;L.;subsp;sativum;;;;
1498;Lepidium virginicum L. subsp. virginicum;Lepidium;virginicum;L.;subsp;virginicum;;;;
1499;Lepidium bonariense L.;Lepidium;bonariense;L.;;;;;;
1500;Lepidium densiflorum Schrad.;Lepidium;densiflorum;Schrad.;;;;;;
1501;Lepidium ruderale L.;Lepidium;ruderale;L.;;;;;;
1502;Lepidium perfoliatum L.;Lepidium;perfoliatum;L.;;;;;;
1503;Lepidium latifolium L.;Lepidium;latifolium;L.;;;;;;
1504;Lepidium graminifolium L. subsp. graminifolium;Lepidium;graminifolium;L.;subsp;graminifolium;;;;
1505;Lepidium draba L. subsp. draba;Lepidium;draba;L.;subsp;draba;;;;
1506;Lepidium villarsii Gren. & Godr. subsp. villarsii;Lepidium;villarsii;Gren. & Godr.;subsp;villarsii;;;;
1507;Lepidium coronopus (L.) Al-Shehbaz;Lepidium;coronopus;(L. ) AlShehbaz;;;;;;
1508;Lepidium didymum L.;Lepidium;didymum;L.;;;;;;
1509;Conringia orientalis (L.) Andrz. ex DC.;Conringia;orientalis;(L. ) Andrz. ex DC.;;;;;;
1510;Conringia austriaca (Jacq.) Sweet;Conringia;austriaca;(Jacq. ) Sweet;;;;;;
1511;Moricandia arvensis (L.) DC.;Moricandia;arvensis;(L. ) DC.;;;;;;
1512;Moricandia longirostris Pomel;Moricandia;longirostris;Pomel;;;;;;
1513;Diplotaxis harra (Forssk.) Boiss. subsp. crassifolia (Raf.) Maire;Diplotaxis;harra;(Forssk. ) Boiss.;subsp;crassifolia;(Raf. ) Maire;;;
1514;Diplotaxis erucoides (L.) DC. subsp. erucoides;Diplotaxis;erucoides;(L. ) DC.;subsp;erucoides;;;;
1515;Diplotaxis tenuifolia (L.) DC.;Diplotaxis;tenuifolia;(L. ) DC.;;;;;;
1516;Diplotaxis muralis (L.) DC.;Diplotaxis;muralis;(L. ) DC.;;;;;;
1517;Diplotaxis viminea (L.) DC.;Diplotaxis;viminea;(L. ) DC.;;;;;;
1518;Diplotaxis scaposa DC.;Diplotaxis;scaposa;DC.;;;;;;
1519;Brassica elongata Ehrh.;Brassica;elongata;Ehrh.;;;;;;
1520;Brassica elongata Ehrh. subsp. elongata;Brassica;elongata;Ehrh.;subsp;elongata;;;;
1521;Brassica elongata Ehrh. subsp. integrifolia (Boiss.) Breistr.;Brassica;elongata;Ehrh.;subsp;integrifolia;(Boiss. ) Breistr.;;;
1522;Brassica macrocarpa Guss.;Brassica;macrocarpa;Guss.;;;;;;
1523;Brassica oleracea L.;Brassica;oleracea;L.;;;;;;
1524;Brassica montana Pourr.;Brassica;montana;Pourr.;;;;;;
1525;Brassica rupestris Raf.;Brassica;rupestris;Raf.;;;;;;
1526;Brassica rupestris Raf. subsp. rupestris;Brassica;rupestris;Raf.;subsp;rupestris;;;;
1527;Brassica rupestris Raf. subsp. hispida Raimondo & Mazzola;Brassica;rupestris;Raf.;subsp;hispida;Raimondo & Mazzola;;;
1528;Brassica villosa Biv.;Brassica;villosa;Biv.;;;;;;
1529;Brassica villosa Biv. subsp. villosa;Brassica;villosa;Biv.;subsp;villosa;;;;
1530;Brassica villosa Biv. subsp. drepanensis (Caruel) Raimondo & Mazzola;Brassica;villosa;Biv.;subsp;drepanensis;(Caruel) Raimondo & Mazzola;;;
1531;Brassica villosa Biv. subsp. tineoi (Lojac.) Raimondo & Mazzola;Brassica;villosa;Biv.;subsp;tineoi;(Lojac. ) Raimondo & Mazzola;;;
1532;Brassica villosa Biv. subsp. bivonana (Mazzola & Raimondo) Raimondo & Mazzola;Brassica;villosa;Biv.;subsp;bivonana;(Mazzola & Raimondo) Raimondo & Mazzola;;;
1533;Brassica villosa Biv. subsp. brevisiliqua (Raimondo & Mazzola) Raimondo & Geraci;Brassica;villosa;Biv.;subsp;brevisiliqua;(Raimondo & Mazzola) Raimondo & Geraci;;;
1534;Brassica incana Ten.;Brassica;incana;Ten.;;;;;;
1535;Brassica insularis Moris;Brassica;insularis;Moris;;;;;;
1536;Brassica napus L.;Brassica;napus;L.;;;;;;
1537;Brassica rapa L.;Brassica;rapa;L.;;;;;;
1538;Brassica rapa L. subsp. rapa;Brassica;rapa;L.;subsp;rapa;;;;
1539;Brassica rapa L. subsp. campestris (L.) A.R.Clapham;Brassica;rapa;L.;subsp;campestris;(L. ) A. R. Clapham;;;
1540;Brassica fruticulosa Cirillo subsp. fruticulosa;Brassica;fruticulosa;Cirillo;subsp;fruticulosa;;;;
1541;Brassica tournefortii Gouan;Brassica;tournefortii;Gouan;;;;;;
1542;Brassica procumbens (Poir.) O.E.Schulz;Brassica;procumbens;(Poir. ) O. E. Schulz;;;;;;
1543;Brassica souliei (Batt.) Batt. subsp. amplexicaulis (Desf.) Greuter & Burdet;Brassica;souliei;(Batt. ) Batt.;subsp;amplexicaulis;(Desf. ) Greuter & Burdet;;;
1544;Brassica nigra (L.) W.D.J.Koch;Brassica;nigra;(L. ) W. D. J. Koch;;;;;;
1545;Brassica gravinae Ten.;Brassica;gravinae;Ten.;;;;;;
1546;Brassica repanda (Willd.) DC.;Brassica;repanda;(Willd. ) DC.;;;;;;
1547;Brassica glabrescens Poldini;Brassica;glabrescens;Poldini;;;;;;
1548;Brassica tyrrhena Giotta, Piccitto & Arrigoni;Brassica;tyrrhena;Giotta, Piccitto & Arrigoni;;;;;;
1549;Sinapis arvensis L. subsp. arvensis;Sinapis;arvensis;L.;subsp;arvensis;;;;
1550;Sinapis pubescens L. subsp. pubescens;Sinapis;pubescens;L.;subsp;pubescens;;;;
1551;Sinapis alba L.;Sinapis;alba;L.;;;;;;
1552;Sinapis alba L. subsp. alba;Sinapis;alba;L.;subsp;alba;;;;
1553;Sinapis alba L. subsp. mairei (H.Lindb.) Maire;Sinapis;alba;L.;subsp;mairei;(H. Lindb. ) Maire;;;
1554;Sinapis alba L. subsp. dissecta (Lag.) Bonnier;Sinapis;alba;L.;subsp;dissecta;(Lag. ) Bonnier;;;
1555;Eruca vesicaria (L.) Cav.;Eruca;vesicaria;(L. ) Cav.;;;;;;
1556;Erucastrum virgatum C.Presl subsp. virgatum;Erucastrum;virgatum;C. Presl;subsp;virgatum;;;;
1557;Erucastrum nasturtiifolium (Poir.) O.E.Schulz subsp. nasturtiifolium;Erucastrum;nasturtiifolium;(Poir. ) O. E. Schulz;subsp;nasturtiifolium;;;;
1558;Erucastrum palustre (Pirona) Vis.;Erucastrum;palustre;(Pirona) Vis.;;;;;;
1559;Erucastrum gallicum (Willd.) O.E.Schulz;Erucastrum;gallicum;(Willd. ) O. E. Schulz;;;;;;
1560;Coincya richeri (Vill.) Greuter & Burdet;Coincya;richeri;(Vill. ) Greuter & Burdet;;;;;;
1561;Coincya monensis (L.) Greuter & Burdet subsp. cheiranthos (Franco) Aedo, Leadlay & Muñoz Garm.;Coincya;monensis;(L. ) Greuter & Burdet;subsp;cheiranthos;(Franco) Aedo, Leadlay & Munoz Garm.;;;
1562;Carrichtera annua (L.) DC.;Carrichtera;annua;(L. ) DC.;;;;;;
1563;Hirschfeldia incana (L.) Lagr.-Foss. subsp. incana;Hirschfeldia;incana;(L. ) Lagr. Foss.;subsp;incana;;;;
1564;Succowia balearica (L.) Medik.;Succowia;balearica;(L. ) Medik.;;;;;;
1565;Erucaria hispanica (L.) Druce;Erucaria;hispanica;(L. ) Druce;;;;;;
1566;Cakile maritima Scop. subsp. maritima;Cakile;maritima;Scop.;subsp;maritima;;;;
1567;Rapistrum perenne (L.) All.;Rapistrum;perenne;(L. ) All.;;;;;;
1568;Rapistrum rugosum (L.) All.;Rapistrum;rugosum;(L. ) All.;;;;;;
1569;Crambe hispanica L.;Crambe;hispanica;L.;;;;;;
1570;Crambe tataria Sebeók;Crambe;tataria;Sebeok;;;;;;
1571;Calepina irregularis (Asso) Thell.;Calepina;irregularis;(Asso) Thell.;;;;;;
1572;Morisia monanthos (Viv.) Asch.;Morisia;monanthos;(Viv. ) Asch.;;;;;;
1573;Raphanus raphanistrum L.;Raphanus;raphanistrum;L.;;;;;;
1574;Raphanus raphanistrum L. subsp. raphanistrum;Raphanus;raphanistrum;L.;subsp;raphanistrum;;;;
1575;Raphanus raphanistrum L. subsp. landra (Moretti ex DC.) Bonnier & Layens;Raphanus;raphanistrum;L.;subsp;landra;(Moretti ex DC. ) Bonnier & Layens;;;
1576;Raphanus raphanistrum L. subsp. sativus (L.) Schmalh.;Raphanus;raphanistrum;L.;subsp;sativus;(L. ) Schmalh.;;;
1577;Reseda luteola L.;Reseda;luteola;L.;;;;;;
1578;Reseda alba L.;Reseda;alba;L.;;;;;;
1579;Reseda alba L. subsp. alba;Reseda;alba;L.;subsp;alba;;;;
1580;Reseda alba L. subsp. hookeri (Guss.) Arcang.;Reseda;alba;L.;subsp;hookeri;(Guss. ) Arcang.;;;
1581;Reseda phyteuma L. subsp. phyteuma;Reseda;phyteuma;L.;subsp;phyteuma;;;;
1582;Reseda odorata L.;Reseda;odorata;L.;;;;;;
1583;Reseda lutea L. subsp. lutea;Reseda;lutea;L.;subsp;lutea;;;;
1584;Sesamoides interrupta (Boreau) G.López;Sesamoides;interrupta;(Boreau) G. Lopez;;;;;;
1585;Sesamoides purpurascens (L.) G.López;Sesamoides;purpurascens;(L. ) G. Lopez;;;;;;
1586;Sesamoides spathulifolia (Revelière ex Boreau) Rothm.;Sesamoides;spathulifolia;(Reveliere ex Boreau) Rothm.;;;;;;
1587;Aldrovanda vesiculosa L.;Aldrovanda;vesiculosa;L.;;;;;;
1588;Drosera rotundifolia L.;Drosera;rotundifolia;L.;;;;;;
1589;Drosera anglica Huds.;Drosera;anglica;Huds.;;;;;;
1590;Drosera intermedia Dreves & Hayne;Drosera;intermedia;Dreves & Hayne;;;;;;
1591;Platanus orientalis L.;Platanus;orientalis;L.;;;;;;
1592;Platanus hispanica Mill. ex Münchh.;Platanus;hispanica;Mill. ex Munchh.;;;;;;
1593;Crassula ovata (Mill.) Druce;Crassula;ovata;(Mill. ) Druce;;;;;;
1594;Crassula muscosa L.;Crassula;muscosa;L.;;;;;;
1595;Crassula tetragona L. subsp. robusta (Toelken) Toelken;Crassula;tetragona;L.;subsp;robusta;(Toelken) Toelken;;;
1596;Crassula tillaea Lest.-Garl.;Crassula;tillaea;Lest. Garl.;;;;;;
1597;Crassula campestris (Eckl. & Zeyh.) Endl. ex Walp. subsp. campestris;Crassula;campestris;(Eckl. & Zeyh. ) Endl. ex Walp.;subsp;campestris;;;;
1598;Bulliarda vaillantii (Willd.) DC.;Bulliarda;vaillantii;(Willd. ) DC.;;;;;;
1599;Kalanchoë daigremontiana Raym.-Hamet & H.Perrier;Kalanchoe;daigremontiana;Raym. Hamet & H. Perrier;;;;;;
1600;Cotyledon orbiculata L.;Cotyledon;orbiculata;L.;;;;;;
1601;Umbilicus chloranthus Heldr. & Sartori ex Boiss.;Umbilicus;chloranthus;Heldr. & Sartori ex Boiss.;;;;;;
1602;Umbilicus rupestris (Salisb.) Dandy;Umbilicus;rupestris;(Salisb. ) Dandy;;;;;;
1603;Umbilicus horizontalis (Guss.) DC.;Umbilicus;horizontalis;(Guss. ) DC.;;;;;;
1604;Sempervivum wulfenii Hoppe ex Mert. & W.D.J.Koch subsp. wulfenii;Sempervivum;wulfenii;Hoppe ex Mert. & W. D. J. Koch;subsp;wulfenii;;;;
1605;Sempervivum grandiflorum Haw.;Sempervivum;grandiflorum;Haw.;;;;;;
1606;Sempervivum arachnoideum L.;Sempervivum;arachnoideum;L.;;;;;;
1607;Sempervivum montanum L.;Sempervivum;montanum;L.;;;;;;
1608;Sempervivum montanum L. subsp. montanum;Sempervivum;montanum;L.;subsp;montanum;;;;
1609;Sempervivum montanum L. subsp. burnatii Wettst.;Sempervivum;montanum;L.;subsp;burnatii;Wettst.;;;
1610;Sempervivum dolomiticum Facchini;Sempervivum;dolomiticum;Facchini;;;;;;
1611;Sempervivum tectorum L.;Sempervivum;tectorum;L.;;;;;;
1612;Sempervivum alpinum Griseb. & Schenk;Sempervivum;alpinum;Griseb. & Schenk;;;;;;
1613;Sempervivum glaucum Ten.;Sempervivum;glaucum;Ten.;;;;;;
1614;Sempervivum calcareum Jord.;Sempervivum;calcareum;Jord.;;;;;;
1615;Sempervivum riccii Iberite & Anzal.;Sempervivum;riccii;Iberite & Anzal.;;;;;;
1616;Jovibarba globifera (L.) J.Parn. subsp. hirta (L.) J.Parn.;Jovibarba;globifera;(L. ) J. Parn.;subsp;hirta;(L. ) J. Parn.;;;
1617;Jovibarba allionii (Jord. & Fourr.) D.A.Webb;Jovibarba;allionii;(Jord. & Fourr. ) D. A. Webb;;;;;;
1618;Jovibarba arenaria (W.D.J.Koch) Opiz;Jovibarba;arenaria;(W. D. J. Koch) Opiz;;;;;;
1619;Aeonium arboreum (L.) Webb & Berthel.;Aeonium;arboreum;(L. ) Webb & Berthel.;;;;;;
1620;Aeonium simsii (Sweet) Stearn;Aeonium;simsii;(Sweet) Stearn;;;;;;
1621;Aeonium decorum Webb ex Bolle;Aeonium;decorum;Webb ex Bolle;;;;;;
1622;Aeonium haworthii Webb & Berthel.;Aeonium;haworthii;Webb & Berthel.;;;;;;
1623;Graptopetalum paraguayense (N.E.Br.) Walther subsp. paraguayense;Graptopetalum;paraguayense;(N. E. Br. ) Walther;subsp;paraguayense;;;;
1624;Sedum praealtum A.DC.;Sedum;praealtum;A. DC.;;;;;;
1625;Petrosedum sediforme (Jacq.) Grulich subsp. sediforme;Petrosedum;sediforme;(Jacq. ) Grulich;subsp;sediforme;;;;
1626;Petrosedum ochroleucum (Chaix) Niederle;Petrosedum;ochroleucum;(Chaix) Niederle;;;;;;
1627;Petrosedum montanum (Songeon & E.P.Perrier) Grulich;Petrosedum;montanum;(Songeon & E. P. Perrier) Grulich;;;;;;
1628;Petrosedum thartii (L.P.Hébert) Niederle;Petrosedum;thartii;(L. P. Hebert) Niederle;;;;;;
1629;Petrosedum rupestre (L.) P.V.Heath;Petrosedum;rupestre;(L. ) P. V. Heath;;;;;;
1630;Petrosedum amplexicaule (DC.) Velayos subsp. anomalum (Lag.) L.Gallo;Petrosedum;amplexicaule;(DC. ) Velayos;subsp;anomalum;(Lag. ) L. Gallo;;;
1631;Petrosedum tenuifolium (Sm.) Grulich;Petrosedum;tenuifolium;(Sm. ) Grulich;;;;;;
1632;Sedum acre L.;Sedum;acre;L.;;;;;;
