id;original_name;genus;species;species_auth;infrasp1_rank;infrasp1;infrasp1_auth;infrasp2_rank;infrasp2;infrasp2_auth
26459;Veronica serpyllifolia L. var. humifusa (Dickson) Sm.;Veronica;serpyllifolia;L.;var;humifusa;(Dickson) Sm.;;;
26460;Veronica spicata L. subsp. barrelieri (H.Schott ex Roem. & Schult.) Murb.;Veronica;spicata;L.;subsp;barrelieri;(H. Schott ex Roem. & Schult. ) Murb.;;;
26461;Veronica spicata L. subsp. orchidea (Crantz) Hayek;Veronica;spicata;L.;subsp;orchidea;(Crantz) Hayek;;;
26462;Veronica teucrium auct.;Veronica;teucrium;auct.;;;;;;
26463;Veronica ticinensis Pollini;Veronica;ticinensis;Pollini;;;;;;
26464;Veronica tournefortii C.C.Gmel. , non Vill., nom. illeg.;Veronica;tournefortii;C. C. Gmel. , non Vill. , nom. illeg.;;;;;;
26465;Veronica xalapensis Kunth;Veronica;xalapensis;Kunth;;;;;;
26466;Verzinum patens (L.) Raf.;Verzinum;patens;(L. ) Raf.;;;;;;
26467;Vesicaria sativa Mill.;Vesicaria;sativa;Mill.;;;;;;
26468;Viburnum macrophyllum Thunb.;Viburnum;macrophyllum;Thunb.;;;;;;
26469;Vicia ambigua Guss.;Vicia;ambigua;Guss.;;;;;;
26470;Vicia articulata Hornem.;Vicia;articulata;Hornem.;;;;;;
26471;Vicia atropurpurea Desf.;Vicia;atropurpurea;Desf.;;;;;;
26472;Vicia barbazitae Ten. & Guss.;Vicia;barbazitae;Ten. & Guss.;;;;;;
26473;Vicia calcarata Desf.;Vicia;calcarata;Desf.;;;;;;
26474;Vicia calcarata Desf. subsp. triflora (Ten.) Burtt & Lewis;Vicia;calcarata;Desf.;subsp;triflora;(Ten. ) Burtt & Lewis;;;
26475;Vicia cracca L. subsp. incana (Gouan) Rouy;Vicia;cracca;L.;subsp;incana;(Gouan) Rouy;;;
26476;Vicia elegans Guss.;Vicia;elegans;Guss.;;;;;;
26477;Vicia ervilia (L.) Willd.;Vicia;ervilia;(L. ) Willd.;;;;;;
26478;Vicia grandiflora Scop. subsp. sordida (Waldst. & Kit.) Dostál;Vicia;grandiflora;Scop.;subsp;sordida;(Waldst. & Kit. ) Dostal;;;
26479;Vicia hirsuta (L.) Gray;Vicia;hirsuta;(L. ) Gray;;;;;;
26480;Vicia lens (L.) Coss. & Germ. subsp. nigricans (M.Bieb.) Bonnier & Layens;Vicia;lens;(L. ) Coss. & Germ.;subsp;nigricans;(M. Bieb. ) Bonnier & Layens;;;
26481;Vicia loiseleurii (M.Bieb.) Litv.;Vicia;loiseleurii;(M. Bieb. ) Litv.;;;;;;
26482;Vicia lutea L. subsp. vestita (Boiss.) Rouy;Vicia;lutea;L.;subsp;vestita;(Boiss. ) Rouy;;;
26483;Vicia marschalii Arcang.;Vicia;marschalii;Arcang.;;;;;;
